Cleaned_data
1Feb2024_data,,,,,,,,,,,,,,,,,,,,,,,,,,
Accession,Description,Classification,Genome Length (bp),Jumbophage,molGC (%),Molecule,Modification Date,Number CDS,Positive Strand (%),Negative Strand (%),Coding Capacity (%),Low Coding Capacity Warning,tRNAs,Host,Lowest Taxa,Genus,Sub-family,Family,Order,Class,Phylum,Kingdom,Realm,Baltimore Group,Genbank Division,Isolation Host (beware inconsistent and nonsense values)
KX266578,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.975,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266577,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.975,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266576,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.921,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266575,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.921,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266574,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.957,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266573,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.957,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266572,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.957,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266571,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.903,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266570,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.975,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266569,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.975,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266568,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.957,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266567,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.975,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266566,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.939,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266565,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.992,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266564,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.975,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266563,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.975,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266562,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.975,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266561,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.903,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266560,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.903,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266559,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.921,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266558,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.975,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266557,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.921,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266556,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.939,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266555,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.957,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266554,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.939,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266553,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.957,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266552,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.903,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266551,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.921,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266550,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.957,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266549,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.957,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266548,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.885,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266547,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.957,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266546,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.992,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266545,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.939,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266544,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.885,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266543,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.903,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266542,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.992,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266541,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.939,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266540,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.992,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266539,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.921,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266538,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.957,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266537,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.957,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266536,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.957,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266535,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.885,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266534,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.992,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266533,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.921,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266532,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.992,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266531,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.957,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266530,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.957,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266529,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.885,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266528,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.903,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266527,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.975,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266526,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.957,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266525,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.903,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266524,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.992,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
KX266523,Enterobacteria phage ID11,Enterobacteria phage ID11 Gequatrovirus G4 Gequatrovirus Bullavirinae Microviridae Petitvirales Malgrandaviricetes Phixviricota Sangervirae Monodnaviria Viruses,5577,FALSE,45.939,DNA,12-JUL-2016,6,100,0,93.4373318988704,NA,0,Enterobacteria,Gequatrovirus,Gequatrovirus,Bullavirinae,Microviridae,Petitvirales,Malgrandaviricetes,Phixviricota,Sangervirae,Monodnaviria,Group II,PHG,Escherichia coli C
